,filename,class
65,E:\TFG\model_src\dataset\0\170356722453561844949404287167437575608_i6k11a.png,2
66,E:\TFG\model_src\dataset\3\126687365257630144944888167632198952195_ovz0ce.png,1
67,E:\TFG\model_src\dataset\0\200862359831761685992552819450233793891_z09t4i.png,0
68,E:\TFG\model_src\dataset\0\98217780532329340007300292761274285758_ph4ff3.png,2
69,E:\TFG\model_src\dataset\3\139120680153560447008136592319048272693_4rvc0g.png,1
70,E:\TFG\model_src\dataset\0\159690112140413823244967667566418197322_nrua7y.png,0
71,E:\TFG\model_src\dataset\0\10993639456162887651402799258182104324_n7x6wm.png,2
72,E:\TFG\model_src\dataset\3\106342149569762669075167992267476548004_4y3h75.png,1
73,E:\TFG\model_src\dataset\0\334589562203518771379665149239316362968_3nh7ym.png,0
74,E:\TFG\model_src\dataset\0\336970287711787775893049319469538003697_iq3qyu.png,2
75,E:\TFG\model_src\dataset\3\41814832511975531555355704785292272560_vgmcyy.png,1
76,E:\TFG\model_src\dataset\0\305453048517584511909927361247180991655_2x71z9.png,0
77,E:\TFG\model_src\dataset\0\206003043361184054364871563349702064318_qsril0.png,2
78,E:\TFG\model_src\dataset\3\183077606001843267018347904513734257090_6oxn95.png,1
79,E:\TFG\model_src\dataset\0\44536207964452859015038957006687811448_noeqf7.png,0
80,E:\TFG\model_src\dataset\0\328054096690428880887485842831782834_amwmet.png,2
81,E:\TFG\model_src\dataset\3\177962593101340421067131733290475588759_1klur8.png,1
82,E:\TFG\model_src\dataset\0\214260817085057432303623958907855926368_jrl28m.png,0
83,E:\TFG\model_src\dataset\0\310603373528845676656153009785603147240_8b9rq6.png,2
84,E:\TFG\model_src\dataset\3\102094432164422357540593447983140263604_43rus9.png,1
85,E:\TFG\model_src\dataset\0\90464809371777154323219683309097631033_g7ks8z.png,0
86,E:\TFG\model_src\dataset\0\59110820420582988694423202263124848668_551dz0.png,2
87,E:\TFG\model_src\dataset\3\300145910371521760919406217532161090839_5lds96.png,1
88,E:\TFG\model_src\dataset\0\339511729523635430557303404954216047272_rwrvt6.png,0
89,E:\TFG\model_src\dataset\0\17902850845091471158249314700609976691_mon677.png,2
90,E:\TFG\model_src\dataset\3\154749541070085664531535707871416483688_t1k3dp.png,1
91,E:\TFG\model_src\dataset\0\255305021945238682284369757239439639240_1gk2z6.png,0
92,E:\TFG\model_src\dataset\0\136914834730769531872881628824926393292_xwnvsy.png,2
93,E:\TFG\model_src\dataset\3\285108983949434127143355859651334481656_nc8z8j.png,1
94,E:\TFG\model_src\dataset\0\32078055345180912106051534833637957932_fkcmpo.png,0
95,E:\TFG\model_src\dataset\0\304673909503207424801802419702123736315_vyckk1.png,2
96,E:\TFG\model_src\dataset\3\158398842473582615924744266410579709440_4zytxn.png,1
97,E:\TFG\model_src\dataset\0\14747842373519304109072114951815645766_kjxsxw.png,0
98,E:\TFG\model_src\dataset\0\246312850064830034880733297114561684862_yrq3tb.png,2
99,E:\TFG\model_src\dataset\3\199260713475889251290093631892255993893-2_acldv0.png,1
100,E:\TFG\model_src\dataset\0\300765837088870057523971311706854661569_55ii9c.png,0
101,E:\TFG\model_src\dataset\0\107969102081045599195461276881236078981_gnfw2f.png,2
102,E:\TFG\model_src\dataset\3\2172087426488735351800906256551338147_n1fez8.png,1
103,E:\TFG\model_src\dataset\0\102102747557522113902850993567166035648_-5a78l.png,0
104,E:\TFG\model_src\dataset\0\163750344543947776171909966951769207897_dgf4vk.png,2
105,E:\TFG\model_src\dataset\4\224943644979844085221615795743234126324_2_i4wv3q.png,1
106,E:\TFG\model_src\dataset\0\47481551763215566757392610054682744939_3azhzs.png,0
107,E:\TFG\model_src\dataset\0\220991425902150564296792633654689602163_hrvmt4.png,2
108,E:\TFG\model_src\dataset\4\225711501765983413451184697747457728735_zei5zs.png,1
109,E:\TFG\model_src\dataset\0\125766228454316130624782540198484575895_9ha77d.png,0
110,E:\TFG\model_src\dataset\0\85622017620251286543763981488010444554_3_gqz9rk.png,2
111,E:\TFG\model_src\dataset\4\327618986879934449241800465918875427916_9ol3v5.png,1
112,E:\TFG\model_src\dataset\0\233506623954258136177168751019496286188_muxzw8.png,0
113,E:\TFG\model_src\dataset\0\85622017620251286543763981488010444554_2_5wffzh.png,2
114,E:\TFG\model_src\dataset\4\259537658279650680058940750112807058822_6ovn69.png,1
115,E:\TFG\model_src\dataset\0\335952795723413338158135725278292632828_iepbz5.png,0
116,E:\TFG\model_src\dataset\0\13385787508008618294648318566272808201_1juwp6.png,2
117,E:\TFG\model_src\dataset\4\82530441705938651053170252599363405812_6fmi3d.png,1
118,E:\TFG\model_src\dataset\0\144478523611315461003350014835868422251_2_s8dluj.png,0
119,E:\TFG\model_src\dataset\0\279074600672607711540467471391389169942_2_1sk9fj.png,2
120,E:\TFG\model_src\dataset\4\311781125693503065633395713582484648534_2_7j39ec.png,1
121,E:\TFG\model_src\dataset\0\302929243006484152942115282128804026168_n68554.png,0
122,E:\TFG\model_src\dataset\0\196322640341501855952664386745644890611_93tqwd.png,2
123,E:\TFG\model_src\dataset\4\293271047515743305538462659141515963383_iik7q8.png,1
124,E:\TFG\model_src\dataset\0\89135767289800763526891535832874263112_j11bkl.png,0
125,E:\TFG\model_src\dataset\0\3544719968872405938834425873941480994_8sqqxr.png,2
126,E:\TFG\model_src\dataset\4\185103609082807172741758831509642702963_w5om81.png,1
127,E:\TFG\model_src\dataset\0\164997689015514390292649262625407524157_5p3hbr.png,0
128,E:\TFG\model_src\dataset\0\108752570745980706741261160610125890734_llek0f.png,2
129,E:\TFG\model_src\dataset\5\17989021260688245284281494417059810881_c2yjsi.png,1
130,E:\TFG\model_src\dataset\0\200494933217168186622620771086149301425_xwagt4.png,0
131,E:\TFG\model_src\dataset\0\96661872943607744026083454561173736607_l8dyy6.png,2
132,E:\TFG\model_src\dataset\5\300179885264878898789096348600566684109_nlqbi8.png,1
133,E:\TFG\model_src\dataset\0\217342025624397376056025865389719461061_0s1x0d.png,0
134,E:\TFG\model_src\dataset\0\172167226340244841253091101374217956877_q2xlp3.png,2
135,E:\TFG\model_src\dataset\5\64387641573695146294700567483618314758_usc896.png,1
136,E:\TFG\model_src\dataset\0\339445012265588569253208175476185397432_y7ahfu.png,0
137,E:\TFG\model_src\dataset\0\186563312460094822052031413675440312100_lerzuv.png,2
138,E:\TFG\model_src\dataset\5\272877221599756943867088991512899439373_k6zg4c.png,1
139,E:\TFG\model_src\dataset\0\146556660707431499811175451504272713520_qcraax.png,0
140,E:\TFG\model_src\dataset\0\222462790575669844431021710120156553492-2_ijn00h.png,2
141,E:\TFG\model_src\dataset\5\332884822888034210508236281228653746007_cy6aw1.png,1
142,E:\TFG\model_src\dataset\0\240993418707876858536613826011412977691_g1qsxi.png,0
143,E:\TFG\model_src\dataset\0\321447499100330133165801765887312551684_ruqzip.png,2
144,E:\TFG\model_src\dataset\5\194788537530780197654387014647599129511_2_57jqsj.png,1
145,E:\TFG\model_src\dataset\0\307522079724846945440235608819884129399_9ev8i5.png,0
146,E:\TFG\model_src\dataset\0\126455653911678893263056441159987922516_uz7fwy.png,2
147,E:\TFG\model_src\dataset\5\217255711041057660771578420196759422433_ragf7w.png,1
148,E:\TFG\model_src\dataset\0\168932592955699627215020703946968924848_n8klve.png,0
149,E:\TFG\model_src\dataset\0\10996416492353037588312781035930080694_8rstz0.png,2
150,E:\TFG\model_src\dataset\5\334588948211354440482133390093521282825_9078q1.png,1
151,E:\TFG\model_src\dataset\0\282677574917629778371314370824906992883_rrlpbc.png,0
152,E:\TFG\model_src\dataset\0\333078556932425505903975417870495109406_19z1qe.png,2
153,E:\TFG\model_src\dataset\6\18026555325291869871419389702689431852_ljxhdh.png,1
154,E:\TFG\model_src\dataset\0\85866326466299232260784932096652895459_w6u4og.png,0
155,E:\TFG\model_src\dataset\0\133394484691426946362242567726008197704_wgf3qp.png,2
156,E:\TFG\model_src\dataset\6\111663441597920323363243636931721135658_jq7gxs.png,1
157,E:\TFG\model_src\dataset\0\137065908382975191936458847174667457624_w5fdh6.png,0
158,E:\TFG\model_src\dataset\0\230693533532517331150809255238204060185_uqaza4.png,2
159,E:\TFG\model_src\dataset\6\112069513825680474004312935207774925849_oxpe9a.png,1
160,E:\TFG\model_src\dataset\0\97757850351127158049352373769024485126_yrs6yy.png,0
161,E:\TFG\model_src\dataset\0\266378675024617307279350330346146584657_-q1fip.png,2
162,E:\TFG\model_src\dataset\6\257126212639214518887861642700072488618_lz5z0h.png,1
163,E:\TFG\model_src\dataset\0\273691557745586453910150897250967449743_gqs9tu.png,0
164,E:\TFG\model_src\dataset\0\12578949989510345687257120413252672482_cxopr7.png,2
165,E:\TFG\model_src\dataset\6\152218190319509346425217028448137264585_fhmvhy.png,1
166,E:\TFG\model_src\dataset\0\40201558112989661454624575975252234993_ykj0qp.png,0
167,E:\TFG\model_src\dataset\0\165876678159048265879748862890800010181_rnt2l0.png,2
168,E:\TFG\model_src\dataset\6\157220226943108537050341296079208124494_3_t4bowf.png,1
169,E:\TFG\model_src\dataset\0\116474664207939562416841071400678251083_cx25im.png,0
170,E:\TFG\model_src\dataset\0\339882268186887380960489338176110498534_mfagno.png,2
171,E:\TFG\model_src\dataset\6\157220226943108537050341296079208124494_2_3th0jp.png,1
172,E:\TFG\model_src\dataset\0\50981020931548218549405502575537953983_pmwq86.png,0
173,E:\TFG\model_src\dataset\0\298730738863271351224673173113661397809_ydug6n.png,2
174,E:\TFG\model_src\dataset\7\223330740289682868456731191915979727926_axkh37.png,1
175,E:\TFG\model_src\dataset\0\93548931578811793129153723399853386695_1y7fmd.png,0
176,E:\TFG\model_src\dataset\0\183291129093752828537422303909510413177_a2fy2j.png,2
177,E:\TFG\model_src\dataset\7\191236382340580492752008432250780203220_daixkm.png,1
178,E:\TFG\model_src\dataset\0\222214110798734961199747405724033440109_6f1lxy.png,0
179,E:\TFG\model_src\dataset\0\229342229247027757104516875968413710664_2_1fiec1.png,2
180,E:\TFG\model_src\dataset\7\177321455323091110251148320861154055610_ke9j42.png,1
181,E:\TFG\model_src\dataset\0\284906344806726594926589844481918422113_qphytt.png,0
182,E:\TFG\model_src\dataset\0\315378758073710773002938371108159457223_4i3rwc.png,2
183,E:\TFG\model_src\dataset\7\168952304088779882761279086644934751344_v1cr7c.png,1
184,E:\TFG\model_src\dataset\0\160704983099138601646527569070310116858_pjaraz.png,0
185,E:\TFG\model_src\dataset\0\241050052022530792552538466791835131251_2dzvr3.png,2
186,E:\TFG\model_src\dataset\7\148466008240623662251369041800552984332_g8a6c9.png,1
187,E:\TFG\model_src\dataset\0\208704848131242209129044701431521297459_w1jsml.png,0
188,E:\TFG\model_src\dataset\0\217479956599982321018343198850440101982_gffz8s.png,2
189,E:\TFG\model_src\dataset\7\245364187742234839649402144173625575579_9h7ceg.png,1
190,E:\TFG\model_src\dataset\0\181216517043989476635675704127527478374_bx4hie.png,0
191,E:\TFG\model_src\dataset\0\42560610279324669242519256937040954261_fon4wd.png,2
192,E:\TFG\model_src\dataset\7\305522141921924513878338751001879807799_an59tr.png,1
193,E:\TFG\model_src\dataset\0\55152229711766417076866166348636920517_to9cif.png,0
194,E:\TFG\model_src\dataset\0\159127361586483217046684065044208677781_lwjgop.png,2
195,E:\TFG\model_src\dataset\7\303264569297997758702898581316031438851_mb7whd.png,1
196,E:\TFG\model_src\dataset\0\324541514510000234910924791881662822244_xvikm8.png,0
197,E:\TFG\model_src\dataset\0\85468007392878327046561481790452504471_icdvi1.png,2
198,E:\TFG\model_src\dataset\7\225799079681461035880643307217632491292_owo2hb.png,1
199,E:\TFG\model_src\dataset\0\4667147195304075665370004242854528293_mvk62x.png,0
200,E:\TFG\model_src\dataset\0\130078111827070011380129004166829283630_knm2t5.png,2
201,E:\TFG\model_src\dataset\7\32968911764461678176224907383926481707_lxkn39.png,1
202,E:\TFG\model_src\dataset\0\238943208385072402449775947445455366662_oedpdw.png,0
203,E:\TFG\model_src\dataset\0\199932188422938481238592789979586445399_5tsy8k.png,2
204,E:\TFG\model_src\dataset\7\118322025090144579663112978968133258410_qjvzmz.png,1
205,E:\TFG\model_src\dataset\0\133862279184721264984877402155150173332_8avltn.png,0
206,E:\TFG\model_src\dataset\0\162547643340406320796659021731452627238_ukxkoa.png,2
207,E:\TFG\model_src\dataset\7\284275186333175795850121892003996913195_2_gzb1aa.png,1
208,E:\TFG\model_src\dataset\0\87295593104315907895303866852516883015_1q2e5i.png,0
209,E:\TFG\model_src\dataset\0\219180996907548395065546092100141694219_iqxe0y.png,2
210,E:\TFG\model_src\dataset\7\165099042720550783877423387383540073544_cw4fev.png,1
211,E:\TFG\model_src\dataset\0\228147380768553292159728012597011580620_8p6by5.png,0
212,E:\TFG\model_src\dataset\0\245895219126534788779109786698958326807_1a9ait.png,2
213,E:\TFG\model_src\dataset\7\71211038925991448627667208088223557649_2bvyqy.png,1
214,E:\TFG\model_src\dataset\0\263113714915382025260711536364181224690_443onc.png,0
215,E:\TFG\model_src\dataset\0\30730032960553671408628043661008406988_2t8qli.png,2
216,E:\TFG\model_src\dataset\8\205857506419833727030787000371321657751_d3knyy.png,1
217,E:\TFG\model_src\dataset\0\267937103716927311565249569255763962603_tkcw98.png,0
218,E:\TFG\model_src\dataset\0\106387312710050943336236742152538193575_ggkrhs.png,2
219,E:\TFG\model_src\dataset\8\28229229914187640184706619176459437312_23ahvm.png,1
220,E:\TFG\model_src\dataset\0\164160316423296602887463915446497560917_j5iu40.png,0
221,E:\TFG\model_src\dataset\0\183920881710676773247374912702951672715_hbbfou.png,2
222,E:\TFG\model_src\dataset\8\309496490824935320079483347976969164614_lwvn9p.png,1
223,E:\TFG\model_src\dataset\0\123498368294572583918380681397200177769_y9x8gz.png,0
224,E:\TFG\model_src\dataset\0\288816819916499810445285019799296820355_3cchnv.png,2
225,E:\TFG\model_src\dataset\8\289162230856120025507286295494237224042_4zcg8n.png,1
226,E:\TFG\model_src\dataset\0\287456232675343225280256963096630959706_ftgxze.png,0
227,E:\TFG\model_src\dataset\0\278638889128400049771148758737201954629_ly6nb3.png,2
228,E:\TFG\model_src\dataset\8\162176146613864642373965163159604941894_2ro67d.png,1
229,E:\TFG\model_src\dataset\0\226399320863319349082592705046056097972_bbgekn.png,0
230,E:\TFG\model_src\dataset\0\46223008737173011532078583749143053828_trhi9u.png,2
231,E:\TFG\model_src\dataset\8\208684450524971140998832360169430144714_yq79t1.png,1
232,E:\TFG\model_src\dataset\0\113078882259200001459142131618912699925_rvuk24.png,0
233,E:\TFG\model_src\dataset\0\303869288667343788676384697489830007247_mo9abk.png,2
234,E:\TFG\model_src\dataset\8\177764964499826820520543764157576111979_dzubcc.png,1
235,E:\TFG\model_src\dataset\0\260510898953196779123408368656136785813_xrwhqa.png,0
236,E:\TFG\model_src\dataset\0\258130016646246208712210251771026326554_ugkp0c.png,2
237,E:\TFG\model_src\dataset\8\143017709468319501772997901482020520995_u3pt37.png,1
238,E:\TFG\model_src\dataset\0\245125788910798198421802122053106746768_d8jf1z.png,0
239,E:\TFG\model_src\dataset\0\32008210773160492199586986018379212457_2vpxxr.png,2
240,E:\TFG\model_src\dataset\8\120681782493734683823287193112258271200_mpr472.png,1
241,E:\TFG\model_src\dataset\0\8270056274277815603725343282855604599_esz2nj.png,0
242,E:\TFG\model_src\dataset\0\112374692944240212493477453186537801287_duan25.png,2
243,E:\TFG\model_src\dataset\8\216065291282238501544145276481144722140_mxzhxx.png,1
244,E:\TFG\model_src\dataset\0\201721536063885662773434047433849383457_hi2ih9.png,0
245,E:\TFG\model_src\dataset\0\164068685878471979373446848440756403913_7xj7ce.png,2
246,E:\TFG\model_src\dataset\9\586149302184826948039320742096016712_2fj7qo.png,1
247,E:\TFG\model_src\dataset\0\78645633090100665307778913278906552208_g3rzvv.png,0
248,E:\TFG\model_src\dataset\0\83389623018407910286259264799782314901_43feqw.png,2
249,E:\TFG\model_src\dataset\9\273840478375910845055633185344086954618_2_s1g2ah.png,1
250,E:\TFG\model_src\dataset\0\115241022223210483124964683795645585434_f1jsyu.png,0
251,E:\TFG\model_src\dataset\0\225116411180109437818558094591679860878_6s4wnx.png,2
252,E:\TFG\model_src\dataset\9\122196852093223381199860141785096687763_gjo3me.png,1
253,E:\TFG\model_src\dataset\0\7403781185427122576355927731625098374_2_c7t3d7.png,0
254,E:\TFG\model_src\dataset\0\151955334888595404107475916595281378150_rqq81f.png,2
255,E:\TFG\model_src\dataset\9\52002174471026456210836794495188426859_nz3qr5.png,1
256,E:\TFG\model_src\dataset\0\30937137539901308896995467550672157986_0mctsx.png,0
257,E:\TFG\model_src\dataset\0\44741748257221477571143139791688232522_1zgj8a.png,2
258,E:\TFG\model_src\dataset\9\235282615411366983284981090773032912653_aib5jy.png,1
259,E:\TFG\model_src\dataset\0\152689236348475668054003869636403774271_ustzsd.png,0
260,E:\TFG\model_src\dataset\0\149703496919917939906470838873107787291_v2qenf.png,2
261,E:\TFG\model_src\dataset\9\133559109434121354704588305773930880868_2_rjlfor.png,1
262,E:\TFG\model_src\dataset\0\18601360500622289706379792120669945126_moixrj.png,0
263,E:\TFG\model_src\dataset\0\230633263479496424897477086553084550036_j73qbg.png,2
264,E:\TFG\model_src\dataset\9\24523215753644805269501585422658620025_c1zc5s.png,1
265,E:\TFG\model_src\dataset\0\304427720011518121355227828568994081714_k6chvx.png,0
266,E:\TFG\model_src\dataset\0\103728770903857873693723863398462888000_qprc9h.png,2
267,D:\TFG - Álvaro\data\10\171532240303067452287840117060828781186_tmpple.png,1
268,E:\TFG\model_src\dataset\0\328320945563753563755593159747231091093_5yzd02.png,0
269,E:\TFG\model_src\dataset\0\73026139096017652711240600006814807155_0c70b2.png,2
270,D:\TFG - Álvaro\data\10\136825096368211373777924548803289902359_v69rg0.png,1
271,E:\TFG\model_src\dataset\0\190484369982899446742320942386545507324_ix7wzg.png,0
272,E:\TFG\model_src\dataset\0\322782198313623169393810941267087161242_6g9qer.png,2
273,D:\TFG - Álvaro\data\10\228355190427838367839203808022258542379_16wia7.png,1
274,E:\TFG\model_src\dataset\0\315641361823864603193087396639083586775_q7f9fv.png,0
275,E:\TFG\model_src\dataset\0\312794383140185593991867467642628370062_5scdd5.png,2
276,D:\TFG - Álvaro\data\10\217127874512969762558746841779542790967_7vqid5.png,1
277,E:\TFG\model_src\dataset\0\319510915366917787894215548090621869058_wydstq.png,0
278,E:\TFG\model_src\dataset\0\14884386265069190975408601181613834993_7pnpc0.png,2
279,D:\TFG - Álvaro\data\10\284524123598394803948251478883215789918_0u3hf4.png,1
280,E:\TFG\model_src\dataset\0\1580614801833545445924521919088753463_g4hv8g.png,0
281,E:\TFG\model_src\dataset\0\101452115716674895724726750589547378043_brve9k.png,2
282,D:\TFG - Álvaro\data\10\175511816923494761263985801406207914563_sojqc6.png,1
283,E:\TFG\model_src\dataset\0\281613535115656970834072294097521573097_unikaf.png,0
284,E:\TFG\model_src\dataset\0\11974129026917569589567069429936363722_43ggl5.png,2
285,D:\TFG - Álvaro\data\10\77561136693303530646535668036889715136_5pheqf.png,1
286,E:\TFG\model_src\dataset\0\55130810732938431956361752051393125876_8t6gyq.png,0
287,E:\TFG\model_src\dataset\0\147036015370488755117195440122198442935_gj6nyv.png,2
288,D:\TFG - Álvaro\data\10\104934949701105445052033419850601965625_lsfbpx.png,1
289,E:\TFG\model_src\dataset\0\313728840001931054959476505024342557272_hyhb7v.png,0
290,E:\TFG\model_src\dataset\0\319731991949674392121232342841606126370_mis3hq.png,2
291,D:\TFG - Álvaro\data\10\258333190380847484970844998010740393617_dpbovi.png,1
292,E:\TFG\model_src\dataset\0\209890252063131802095499875481860176531_ymxr6o.png,0
293,E:\TFG\model_src\dataset\0\234342867609378165029209432645962948419_4b8v09.png,2
294,E:\TFG\model_src\dataset\11\35000485158603229823855185421081572700_q54sos.png,1
295,E:\TFG\model_src\dataset\0\90651347082851316868509948075763501242_zkttan.png,0
296,E:\TFG\model_src\dataset\0\235941346659938953302834349629260843448_oc58gw.png,2
297,E:\TFG\model_src\dataset\11\306702647186625310294819558143821488515_st85m5.png,1
298,E:\TFG\model_src\dataset\0\145926613354687434780321279366269700722_dibidt.png,0
299,E:\TFG\model_src\dataset\0\26366102180956854038985766908088700065_8ekpqo.png,2
300,E:\TFG\model_src\dataset\11\287572963890967175272152094602610557483_brkd84.png,1
301,E:\TFG\model_src\dataset\0\65129472649567862205552993890474699929_gdm8id.png,0
302,E:\TFG\model_src\dataset\0\6926181435968823021039359592620799236_ehtmuh.png,2
303,E:\TFG\model_src\dataset\11\107560642926219565361090047140924766160_rwfypb.png,1
304,E:\TFG\model_src\dataset\0\114686050091303667662723520657708873157_98wcug.png,0
305,E:\TFG\model_src\dataset\0\157943178667978315593423977854134065828_w1j177.png,2
306,E:\TFG\model_src\dataset\11\186551286116991844494128992187764323461_a4y1vo.png,1
307,E:\TFG\model_src\dataset\0\188113916122196904404852495873259575747_1sy5bv.png,0
308,E:\TFG\model_src\dataset\0\194484754413661724876887797917764741855_lel9c5.png,2
309,E:\TFG\model_src\dataset\11\303499928368116255320073701983169759751_k6avo1.png,1
310,E:\TFG\model_src\dataset\0\2634534793646995756080016199272660137_x4rr0p.png,0
311,E:\TFG\model_src\dataset\0\316858368375223101634087758266719643406_40w5or.png,2
312,E:\TFG\model_src\dataset\11\310105454051685308651030906920018004696_2_k57awe.png,1
313,E:\TFG\model_src\dataset\0\50089397883247827451873211350960863980_zrn5gt.png,0
314,E:\TFG\model_src\dataset\0\243293595447606375155765731457482543605_7rjogk.png,2
315,E:\TFG\model_src\dataset\11\290961977585814064951804070769935509385_qodjsz.png,1
316,E:\TFG\model_src\dataset\0\286255325484547014252536052554621773703_4mxkxy.png,0
317,E:\TFG\model_src\dataset\0\260505833407659436182476461589696465633_b0hrkf.png,2
318,E:\TFG\model_src\dataset\11\330538296230770196472652367242834417883_n3gz92.png,1
319,E:\TFG\model_src\dataset\0\299762246267626192067644650381038096831_v4jxar.png,0
320,E:\TFG\model_src\dataset\0\98145228157634527220567831974984572757_2b4a97.png,2
321,E:\TFG\model_src\dataset\11\230487337297019200246371467412289989393_t4albz.png,1
